,Python/is_empty1,Python/is_empty2,C++/is_empty_spot29,C++/is_empty_atva19,C++/is_empty_spot28,C++/old_is_empty,/result,aut/states,aut/edges,aut/sccs,aut/ntsccs,aut/nrsccs,aut/nrstates,aut/sets,aut/acc,/bench
80,0.37661680002929643,0.15699168847640976,0.04031567299971357,0.03702685660100542,0.03667721379897557,0.4538505260134116,TTTTTT,96,1435,2,1,1,95,4,(Inf(0) | Fin(1)) & Fin(2) & Inf(3),ltlcross
81,0.5006912699900568,0.2120125230285339,0.052545922400895506,0.0525625778012909,0.05263420280534774,0.3287568200030364,TTTTTT,19,304,1,1,1,19,10,(Inf(0) | Fin(1)) & (Fin(2)|Fin(3)|Fin(4)|Fin(5)) & (Inf(6) | (Inf(7)&Inf(8)&Inf(9))),ltlcross
82,0.7281711840769276,0.24770895997062325,0.06395648480392993,0.06361854079877957,0.0631520100054331,0.7724569059209898,TTTTTT,170,2090,1,1,1,170,5,(Inf(0) | Fin(1)) & Fin(2) & (Inf(3) | Fin(4)),ltlcross
83,0.1547687515267171,0.12977888499153778,0.01545822740008589,0.014798080502077936,0.014869581101811491,0.00654516862006858,TTTTTT,1,16,1,1,1,1,12,((Fin(0) & (Fin(1)|Fin(2)|Fin(3))) | (Inf(4)&Inf(5)&Inf(6)&Inf(7))) & (Inf(8) | (Inf(9)&Inf(10)&Inf(11))) & (Fin(8)|Fin(9)|Fin(10)|Fin(11)),ltlcross
84,0.27179196203360334,0.10136294600670226,0.022622420598054305,0.022460496198618785,0.022409065096871926,0.3345217870082706,TTTTTT,42,672,1,1,1,42,10,((Fin(0) & (Fin(1)|Fin(2)|Fin(3))) | (Inf(4)&Inf(5)&Inf(6)&Inf(7))) & Fin(8) & Inf(9),ltlcross
85,0.15487386149470694,0.13111862351070158,0.015859608200844377,0.015285603850497865,0.015306208550464362,0.00698279891978018,TTTTTT,1,16,1,1,1,1,16,((Fin(0) & (Fin(1)|Fin(2)|Fin(3))) | (Inf(4)&Inf(5)&Inf(6)&Inf(7))) & (Fin(8)|Fin(9)|Fin(10)|Fin(11)) & (Inf(12) | (Inf(13)&Inf(14)&Inf(15))),ltlcross
86,0.15651992650236934,0.13135422999039292,0.015998254099395127,0.015193964098580181,0.015265920897945762,0.0068993066798429935,TTTTTT,1,16,1,1,1,1,16,((Inf(0)&Inf(1)&Inf(2)&Inf(3)) | (Fin(4) & (Fin(5)|Fin(6)|Fin(7)))) & (Inf(8) | (Inf(9)&Inf(10)&Inf(11))) & (Fin(12)|Fin(13)|Fin(14)|Fin(15)),ltlcross
87,0.4564573959214613,0.15829036151990294,0.03770212579984218,0.037598968204110864,0.037515486299525946,0.5529390020528808,TTTTTT,57,912,1,1,1,57,11,((Fin(0) & (Fin(1)|Fin(2)|Fin(3))) | (Inf(4)&Inf(5)&Inf(6)&Inf(7))) & Fin(8) & (Inf(9) | Fin(10)),ltlcross
88,0.7013877020217478,0.28565532504580915,0.0694703351939097,0.06827447739196942,0.06853863620199263,0.34895881899865344,TTTTTT,21,336,1,1,1,21,7,(Inf(0) | (Fin(1) & Inf(2))) & (Inf(3) | (Inf(4)&Inf(5)&Inf(6))) & (Fin(3)|Fin(4)|Fin(5)|Fin(6)),ltlcross
89,0.477577600046061,0.1516210330009926,0.042716745601501314,0.0423965101945214,0.042418781807646154,0.6849209860665724,TTTTTT,120,1779,1,1,1,120,5,(Inf(0) | (Fin(1) & Inf(2))) & Fin(3) & Inf(4),ltlcross
